N° de certificado;Nombre comercial;Empresa ;Titular o Extensión; 
"05-189";"IODOPOVIDONA PITNEY SOLUCION AL 10%";"LAB VETER PITNEY PHARMA SRL";"Propio";
"05-191";"Arflex";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"05-193";"Pharmatick Pets";"PHARMA AGRO S A";"Propio";
"05-194";"Apto 3 D Comprimidos";"AFFORD SA";"Extensión";
"05-194";"DESPARASIT";"ATON SRL";"Propio";
"05-195";"OXITETRACICLINA L.A. PAUL";"PROMOPET SRL";"Propio";
"05-200";"Natiur Flex";"JOHN MARTIN SRL";"Propio";
"05-201";"Estreptocilin Flex";"LEON PHARMA S. R. L.";"Extensión";
"05-201";"ESPES 5 MILLONES";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Extensión";
"05-201";"ATB FENAC";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"05-202";"Fortemax Complemento con Selenio";"LEON PHARMA S. R. L.";"Extensión";
"05-202";"Vigortone";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Extensión";
"05-202";"POLIVITAGEN MAX B12 CON SELENIO";"CESINI SILVIO GERMAN";"Extensión";
"05-202";"POLIVITAGEN MAX B12 CON SELENIO";"TECNOVAX BIOFARMA S. A. S.";"Extensión";
"05-202";"POLICALCIO B 12 ZOOVET";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"05-203";"ACTINOMICINA";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"05-205";"MEGLUXIN";"PROAGRO SA";"Propio";
"05-206";"PREVICOX";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"05-207";"AMOXILINA 50 PS";"FAEVE SOCIEDAD ANONIMA";"Propio";
"05-208";"SHAMPOO CON KETOCONAZOL OSSPRET";"LABORATORIOS OSSPRET S.A.";"Propio";
"05-209";"SHAMPOO CON CLORHEXIDINA OSSPRET";"LABORATORIOS OSSPRET S.A.";"Propio";
"05-210";"SHAMPOO CON PEROXIDO DE BENZOILO OSSPRET";"LABORATORIOS OSSPRET S.A.";"Propio";
"05-211";"FLOXACINA 50";"ALFA VET SA";"Propio";
"05-213";"Ivernort Plus";"LABORATORIOS VETERINARIOS NORT SA";"Propio";
"05-214";"LIDOCAINA TECNOFARM";"TECNOFARM S. R. L.";"Propio";
"05-215";"SHELBY";"TECNOFARM S. R. L.";"Propio";
"05-216";"SELENIO ED TECNOFARM";"TECNOFARM S. R. L.";"Propio";
"05-218";"Yoduro de sodio Pharmavet";"PHARMAVET SA";"Propio";
"0522/E";"ZERAMECTINA 3,5";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"05-220";"PENICILLINE S";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"05-221";"4 V PLAT";"PLATALAB S.A.";"Propio";
"05-224";"CLOSTRIDIUM 6 AGROPHARMA";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"05-226";"Paulfenicol oftalmico";"PROMOPET SRL";"Propio";
"05-227";"Synect Pet Talco";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"05-228";"Medroxiprogesterona Medivet";"MEDIVET S.A.";"Extensión";
"05-228";"MEDROXIPROGESTERONA OVER";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"05-229";"Prednisolona Over";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"05-229";"PREDNISOLONA MEDIVET";"MEDIVET S.A.";"Extensión";
"0523/E";"VITANABOL AD3E ZOOVET";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"05-230";"KETAMINA OVER";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"05-231";"MEGESTROL OVER";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"05-232";"Phosfovit";"PHARMAVET SA";"Propio";
"05-233";"Cyperthion";"PHARMA AGRO S A";"Propio";
"05-234";"Closantel Pharmavet";"PHARMAVET SA";"Propio";
"05-235";"CALCIO-CALIER FORTE";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"05-237";"SEDA-T ZOOVET";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"05-238";"Di-oxi-forte";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"05-239";"Sefolgen Ade Plus";"CESINI SILVIO GERMAN";"Extensión";
"05-239";"SELEVIT ZOOVET ADE";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"0524/E";"Ivermectina 1% Chinfield";"CHINFIELD SA";"Propio";
"05-240";"ECTOGEN 3010";"TECNOVAX BIOFARMA S. A. S.";"Propio";
"05-241";"Benzoglutal";"LABORATORIOS AVIAR S A";"Propio";
"05-242";"Dexacor";"ALFA VET SA";"Propio";
"05-243";"Shampoo con clorhexidina Nieser";"NIESER ARGENTINA S A";"Propio";
"05-244";"Overseg Plus Oxi";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"05-246";"DIMODRIL";"NIESER ARGENTINA S A";"Propio";
"05-247";"ISIQUICK";"JOHN MARTIN SRL";"Propio";
"05-248";"TIRMICINA";"ALLIGNANI HERMANOS S R L";"Propio";
"05-249";"LICOR DE VILLATE RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"0525/E";"GOTAS OTICAS ARGENPET";"ARGEN PET S.R.L";"Propio";
"05-250";"Bactroflay Lechero";"LABORATORIOS KONIG S A";"Propio";
"05-253";"FLORFENICOL RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"05-254";"Plus Part";"ARSA S R L S. R. L.";"Propio";
"05-258";"LOPERAMIDA OVER";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"05-259";"TRIAMCINOLONA OVER";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"05-259";"TRIAMCINOLONA MEDIVET";"MEDIVET S.A.";"Extensión";
"0526/E";"Antiparasitario Suspension para Perros Argenpet";"ARGEN PET S.R.L";"Propio";
"05-260";"NEUROLIS PLUS";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"05-261";"ATB 5";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"05-262";"SEDANTE OVER";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"05-264";"Florfenicol KW";"KW SRL";"Propio";
"05-265";"Oxi-Liquida Leydi 20%";"EZEGAB S R L";"Propio";
"05-266";"Cobreprop";"EZEGAB S R L";"Propio";
"05-267";"SULFAVET";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"05-268";"ENERGY MAX";"INTERBIO PHARMA S.R.L.";"Propio";
"05-269";"Levasol";"ALFA VET SA";"Propio";
"0527/E";"DOXICILINA ARGENPET";"ARGEN PET S.R.L";"Propio";
"0527/E";"DOXI 100 - DOXI 200";"AFFORD SA";"Extensión";
"05-270";"Dermosedan Champu Avena + Aloe";"CASTELLANO GUSTAVO HECTOR";"Propio";
"05-271";"Civet Trimetoprim Sulfa Oral";"FACYT S R L";"Propio";
"05-272";"Polvo Cicatrizante Sport Horse";"SPORT.HORSE S.A";"Propio";
"05-274";"DRAXXIN";"ZOETIS ARGENTINA S R L";"Propio";
"05-276";"Ovulos intrauterinos Over";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"05-277";"KIL AG";"BROUWER SA";"Propio";
"05-279";"ANTITOXICO AZUL";"ALLIGNANI HERMANOS S R L";"Propio";
"0528/E";"ANTIPARASITARIO COMPRIMIDOS PALATABLES ARGENPET";"ARGEN PET S.R.L";"Propio";
"05-280";"NATURAL VAR";"APILAB S.R.L.";"Propio";
"05-281";"Dizucox L";"AGROPECUARIA MH S R L";"Propio";
"05-282";"HEPARMIN PLUS";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"05-284";"Condroplus Max";"LAB VETER PITNEY PHARMA SRL";"Propio";
"05-284";"FLEXOVET ULTRA POWER";"CHEMOVET S.A.";"Extensión";
"05-290";"Cyromax L";"AGROPECUARIA MH S R L";"Propio";
"0540/E";"Doramax ";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"0544/E";"Iversan 3,15%";"LABORATORIOS ESPECIALIDADES VETERINARIAS ALE BET S R L";"Propio";
"0545/E";"Oxitetra-Cilin L.A.";"AFFORD SA";"Propio";
"0546/E";"Oxitetra-Cilin";"AFFORD SA";"Propio";
"0547/E";"Nataminol";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"0548/E";"CEVASAMECTIN";"CEVASA S. A.";"Propio";
"0550/E";"VACUNA ANTIPISCIRICKETTSIA SALMONIS, VIRUS IPN, VIRUS ISA, VIBRIO ORDALII Y AEROMONAS SALMONICIDA";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"0551/E";"OVERWEIGHT M";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"0555/E";"Supramin";"ALFA VET SA";"Propio";
"0558/E";"Protyl";"PROAGRO SA";"Propio";
"0562/E";"Spectylinc Soluble";"PROAGRO SA";"Propio";
"0563/E";"Pro-Engorde Forte";"PROAGRO SA";"Propio";
"0564/E";"Pro-Engorde Vit";"PROAGRO SA";"Propio";
"0566/E";"CLOSTRIMAX P";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"0568/E";"Iverzur 3,15";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"0569/E";"Fleanet Dog /E";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"0576/E";"REPARDERM PLATA AM (NF)";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"0577/E";"IVERZUR 3,15 LA ADE";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"0578/E";"Bovicine R /E";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"0582/E";"Murave";"TROCKI JORGE MARCELO";"Propio";
"0585/E";"POLICLOSTRIGEN P";"BIOGENESIS BAGO S.A.";"Propio";
"0586/E";"Cabergolina 100 Argenpet";"ARGEN PET S.R.L";"Propio";
"0587/E";"Ivernol L.A. Gold";"LAB VETER PITNEY PHARMA SRL";"Propio";
"0588/E";"Condrototal Argenpet";"ARGEN PET S.R.L";"Propio";
"0589/E";"Shampoo Argenpet Antiseptico Antiseborreico Oleoso";"ARGEN PET S.R.L";"Propio";
"0590/E";"ENROFLOXACINA 150 ARGENPET";"ARGEN PET S.R.L";"Propio";
"0591/E";"PROVIDEAN AQUATEC 4 SRS IPN VIBRIO ISAV";"TECNOVAX S.A.";"Propio";
"0592/E";"PROVIDEAN AQUATEC 3 SRS IPN VIBRIO";"TECNOVAX S.A.";"Propio";
"0593/E";"PROVIDEAN AQUATEC 2 SRS IPN";"TECNOVAX S.A.";"Propio";
"0594/E";"PROVIDEAN AQUATEC 1 SRS";"TECNOVAX S.A.";"Propio";
"0596/E";"RACTONABOL ";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"0597/E";"PROVIDEAN AQUATEC 5 SRS IPN VIBRIO ISAV. AEROMONAS";"TECNOVAX S.A.";"Propio";
"0600/E";"Speed Up";"CHINFIELD SA";"Propio";
"06-001";"FLUVAC INNOVATOR 4 PLUS";"ZOETIS ARGENTINA S R L";"Propio";
"06-003";"Enterodual";"JOHN MARTIN SRL";"Propio";
"06-004";"MEGLUMAI GRANDES ANIMALES";"LUMAI S R L";"Propio";
"06-004";"FLUNIXIN WK";"EQUI SYSTEMS SRL";"Extensión";
"06-005";"TILKEMT";"MONTKEMT S.A.";"Propio";
"06-007";"NABOLIC STRONG PET'S";"CHINFIELD SA";"Propio";
"06-010";"ECTOGEN EMULSION";"CESINI SILVIO GERMAN";"Extensión";
"06-010";"Ectocan";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"06-011";"ENROPLUS ORAL";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"06-012";"Once (7+4) con selenio";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"06-013";"SHAMPOO AP ZOOVET";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"06-014";"Shampoo APCG Zoovet";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"06-015";"Glucodexam";"MERVAK S.R.L.";"Propio";
"06-015";"DEXA LEON PHARMA";"LEON PHARMA S. R. L.";"Extensión";
"06-017";"Antiparasitario total Laika";"ALLIGNANI HERMANOS S R L";"Propio";
"06-022";"ZIFLOR GEL OFTALMICO";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"06-023";"SHAMPOO ZOOVET CON CLORHEXIDINA";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"06-024";"Tilcomina";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Extensión";
"06-024";"Tilmilon 300";"LEON PHARMA S. R. L.";"Extensión";
"06-024";"TILMICOVET";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"06-028";"CISTEPAN BURNET";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"06-030";"Dexathor";"LABORATORIO VETERINARIO LOPSONN DE ARGENTINA S A";"Propio";
"06-031";"ROY - TAC";"ALLIGNANI HERMANOS S R L";"Propio";
"06-033";"CEFALEXINA P.A.OVER";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"06-033";"CEPHILEXINE JOHN MARTIN";"JOHN MARTIN SRL";"Extensión";
"06-039";"Curabicheras Pasta Argos";"LABORATORIOS ARGOS S R L";"Propio";
"0604/E";"VACUNA ANTIBRUCELICA BOVINA";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"06-040";"HEMOMAX";"INTERBIO PHARMA S.R.L.";"Propio";
"06-041";"Duxal";"LAB VETER PITNEY PHARMA SRL";"Propio";
"06-042";"CUPRODIN";"LABORATORIO VETERINARIO LOPSONN DE ARGENTINA S A";"Propio";
"06-044";"Protector de Cascos Cu-Tral- Co";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"06-046";"PENICILINA ESTREPTOMICINA 1.200.000 UNIDADES TECNOFARM";"TECNOFARM S. R. L.";"Propio";
"06-047";"Excede";"ZOETIS ARGENTINA S R L";"Propio";
"06-048";"BAYTRIL MAX";"INNOSUR";"Propio";
"06-049";"ENROFLOXACINA 5 PAUL";"PROMOPET SRL";"Propio";
"06-050";"Apsacox - Plus";"APSA INTERNACIONAL S A";"Propio";
"06-051";"Apsa Cox Rob";"APSA INTERNACIONAL S A";"Propio";
"06-052";"Celoprost";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"06-054";"Thorsodium";"LABORATORIO VETERINARIO LOPSONN DE ARGENTINA S A";"Propio";
"06-055";"Dermosedan Champu uso frecuente";"CASTELLANO GUSTAVO HECTOR";"Propio";
"06-058";"Progestal";"PRO SER SA";"Propio";
"06-059";"Diazepet";"BROUWER SA";"Propio";
"06-061";"CUMEPRAZOL";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"06-062";"Prednivet";"BIOAMERVETLAB";"Propio";
"06-063";"Prednisolona Pharmavet";"PHARMAVET SA";"Propio";
"06-067";"FUREDEN D";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"06-069";"Florfarma 30";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"06-070";"TIOCTIC";"LABORATORIOS RODENTHIA S.A";"Propio";
"06-071";"DERMAGEN";"INTERBIO PHARMA S.R.L.";"Propio";
"06-073";"Curabicheras liquido Argos";"LABORATORIOS ARGOS S R L";"Propio";
"06-074";"Artrofin";"PHARMAVET SA";"Propio";
"06-075";"SOSTEN CG ORAL";"BIOGENESIS BAGO S.A.";"Propio";
"06-076";"Triclabendazol 10% Over";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"06-077";"Metio-T";"PRO SER SA";"Propio";
"0608/E";"Floxin 10% Max";"PROAGRO SA";"Propio";
"06-080";"NORCILINA PLUS";"LABORATORIOS VETERINARIOS NORT SA";"Propio";
"06-083";"Enrofloxacina Inyectable 10% Lopsonn";"LABORATORIO VETERINARIO LOPSONN DE ARGENTINA S A";"Propio";
"06-084";"ULTRA-ZINC AD";"TECNOFARM S. R. L.";"Propio";
"06-085";"PREDIPOT *";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"06-086";"IVERMIC + A D3 E";"MIVET SA";"Propio";
"06-087";"Ecto-2 Pour On Zoovet";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"06-091";"CEFALEXINA PITNEY";"LAB VETER PITNEY PHARMA SRL";"Propio";
"06-092";"GRISEOFULVINA 500 MG HOLLIDAY";"HOLLIDAY SCOTT S A";"Propio";
"06-093";"MAXIVERM";"LABORATORIOS KONIG S A";"Propio";
"06-094";"Silatox L.A. Spot-On";"RUTA SEIS S.A.";"Propio";
"06-095";"Benzoato de Estradiol Dairyfarma";"DAIRYFARMA SRL";"Propio";
"06-096";"APTO MAX SOLUCION ORAL";"AFFORD SA";"Propio";
"06-097";"Celo-Check Blue";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"06-098";"Otobiotic";"EL GIGANTE S R L";"Propio";
"0610/E";"Protyl 200 Inyectable";"PROAGRO SA";"Propio";
"06-100";"Povidol *";"ALFA VET SA";"Propio";
"06-102";"Nortox LA Felinos";"LABORATORIOS VETERINARIOS NORT SA";"Extensión";
"06-102";"Silatox L.A. Gatos";"PROMOPET SRL";"Propio";
"06-105";"Neococcil";"KW SRL";"Propio";
"06-107";"CELAM COMPRIMIDOS";"LABORATORIO LAMAR S.R.L.";"Propio";
"06-108";"CELAM SUSPENSION";"LABORATORIO LAMAR S.R.L.";"Propio";
"06-109";"CLINDAMICIN";"LABORATORIO LAMAR S.R.L.";"Propio";
"06-110";"CLINDAMICIN INYECTABLE";"LABORATORIO LAMAR S.R.L.";"Propio";
"06-113";"Dexacev";"CEVASA S. A.";"Propio";
"06-114";"CANOPUS - BRILLO ACONDICIONADOR";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"06-115";"CANOPUS SHAMPOO ACONDICIONADOR";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"06-116";"DAIRYTIL";"DAIRYFARMA SRL";"Propio";
"06-118";"Tilmicosina Over 30%";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"06-119";"ANUBISIN PLUS 10";"LABORATORIO ALQUIMIA S.A.";"Propio";
"0612/E";"VACUNA CLOSTRIMAX";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"06-121";"MD VAC CV1 988";"ZOETIS ARGENTINA S R L";"Propio";
"06-122";"Curabichera Paul Plata";"PROMOPET SRL";"Propio";
"06-129";"X-105";"LABORATORIOS BIMEX S R L";"Propio";
"06-130";"Solubron 20 Holliday";"HOLLIDAY SCOTT S A";"Propio";
"06-132";"Crema de ordeñe tambera con aloe vera";"ALLIGNANI HERMANOS S R L";"Propio";
"06-133";"Triamcinolona Acetonida ARSA";"ARSA S R L S. R. L.";"Propio";
"06-134";"Overseg compuesto LPU";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"06-135";"Neocarbusol inyectable";"LABORATORIO ALQUIMIA S.A.";"Propio";
"06-136";"ENROFLOXACINA COMPRIMIDOS ALQUIMIA";"LABORATORIO ALQUIMIA S.A.";"Propio";
"06-137";"CICATRISAN";"LABORATORIO ALQUIMIA S.A.";"Propio";
"06-138";"CLORMADINONA PITNEY";"LAB VETER PITNEY PHARMA SRL";"Propio";
"06-139";"ENROFLOXACINA PITNEY";"LAB VETER PITNEY PHARMA SRL";"Propio";
"06-140";"Calmaderm";"JOHN MARTIN SRL";"Propio";
"06-142";"DIB 0,5";"ZOETIS ARGENTINA S R L";"Propio";
"06-143";"Bioflor";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"06-144";"Cuprizur";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"06-145";"MICOZUR 300";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"06-146";"Coopermicina 20% L.A.";"INTERVET ARGENTINA SA";"Extensión";
"06-146";"Oximic 20% LA";"MIVET SA";"Propio";
"06-147";"PROVIDEAN PRIMOTEC A T";"TECNOVAX S.A.";"Propio";
"06-148";"PROVIDEAN VIRATEC 6 VC";"TECNOVAX S.A.";"Propio";
"06-149";"PROVIDEAN VIRATEC PC";"TECNOVAX S.A.";"Propio";
"0615/E";"HEMO PLUS FORTE";"AGROINSUMOS S. A.";"Propio";
"06-150";"PROVIDEAN VIRATEC 4";"TECNOVAX S.A.";"Propio";
"06-151";"CYNLARVIN SOLUBLE";"LABORATORIOS AVIAR S A";"Propio";
"06-152";"NITROMETIONINA";"CENTROVET ARGENTINA S.A.";"Propio";
"06-153";"Fortefos + Hierro";"LEON PHARMA S. R. L.";"Extensión";
"06-153";"Minerphos";"MERVAK S.R.L.";"Propio";
"06-157";"PROVIDEAN CLOSTRIDIAL 8";"TECNOVAX S.A.";"Propio";
"06-159";"Epen LPU";"KW SRL";"Extensión";
"06-159";"VETUEMICINA E";"LABORATORIO VETUE SRL";"Propio";
"0616/E";"Iver 315 ADE";"PHARMAVET SA";"Propio";
"06-160";"PROVIDEAN REPRODUCTIVA";"TECNOVAX S.A.";"Propio";
"06-162";"Vitamina B1 WK";"EQUI SYSTEMS SRL";"Propio";
"06-163";"TILMICOSINA GANAFORT 30%";"LABORATORIO GANAFORT ARGENTINA S.A.";"Propio";
"06-166";"Tilmicox Premix";"CEVASA S. A.";"Propio";
"06-167";"SOLUCION GLUCOSADA VITAMINADA 50% RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"06-168";"SHAMPOO ANTISARNICO OSSPRET CON AMITRAZ";"LABORATORIOS OSSPRET S.A.";"Propio";
"0617/E";"Premix  CSG";"ENSOL S A";"Propio";
"06-170";"Cefatidina";"PROAGRO SA";"Propio";
"06-171";"Thormisol Oral";"LABORATORIO VETERINARIO LOPSONN DE ARGENTINA S A";"Propio";
"06-174";"HEPATOPROTECTOR OVER";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"06-175";"AUT - PIETIN";"ALLIGNANI HERMANOS S R L";"Propio";
"06-176";"CAUSTICO PARA VERRUGAS RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"06-177";"Vap Dip Polvo";"LAB VETER PITNEY PHARMA SRL";"Propio";
"06-178";"CLOPROSTENOL AGROPHARMA";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"06-179";"FOSELVIT";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"06-181";"DOXIPET";"PROAGRO SA";"Propio";
"06-182";"IDEXX ADV/PRV GE";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"06-183";"Nutrimin";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"06-184";"COLIRIO FN ELMER *";"AGREED LABORATORIOS S A";"Propio";
"06-185";"Complex Neumo";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"06-190";"Enfloxazur";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"06-191";"TILOZUR";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"06-193";"EXCEDE CERDOS";"ZOETIS ARGENTINA S R L";"Propio";
"06-194";"Endogard";"CENTROVET ARGENTINA S.A.";"Propio";
"06-196";"COMPLEX INTENSIVO";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"06-197";"Vitaminico A-D-E Selenio-Cinc Rio de Janeiro";"ALLIGNANI HERMANOS S R L";"Propio";
"06-198";"Doxiciclina Fe-Line";"LABYES S A";"Propio";
"0620/E";"IMIDOCARB ARGENPET";"ARGEN PET S.R.L";"Propio";
"06-200";"BIOXITEN L.A.";"VON FRANKEN S A I C";"Propio";
"06-201";"Overbiotic L.A. Plus";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"06-202";"Kil Amitraz";"BROUWER SA";"Propio";
"06-204";"Agroxilina";"AGROPECUARIA MH S R L";"Propio";
"06-205";"Amoxicilina Polvo Soluble Over";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"06-206";"CALCYODOS - FOS";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"06-207";"X - Acid";"LABORATORIOS BIMEX S R L";"Propio";
"06-209";"OXIMIC PLUS";"MIVET SA";"Propio";
"06-210";"Interalb Suspension";"LEON PHARMA S. R. L.";"Extensión";
"06-210";"ALBENZOL";"MERVAK S.R.L.";"Propio";
"06-211";"Cresil 50";"AGROPECUARIA MH S R L";"Propio";
"06-212";"Calciomag";"KW SRL";"Propio";
"06-213";"Hepatonic";"KW SRL";"Propio";
"06-215";"Cu - Pro";"PRO SER SA";"Propio";
"06-216";"DOMINAL GATOS";"LABORATORIOS KONIG S A";"Propio";
"06-217";"Shampoo con clorhexidina y miconazol Nieser";"NIESER ARGENTINA S A";"Propio";
"06-218";"Dia";"ARSA S R L S. R. L.";"Propio";
"06-219";"Thorbendazol R";"LABORATORIO VETERINARIO LOPSONN DE ARGENTINA S A";"Propio";
"06-220";"Celo-Chek Rojo";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"06-221";"Difenilhidramina Laika";"ALLIGNANI HERMANOS S R L";"Propio";
"06-222";"DIURÉTICO TECNOFARM";"TECNOFARM S. R. L.";"Propio";
"06-223";"TILMICOSIN 300 TECNOFARM";"TECNOFARM S. R. L.";"Propio";
"06-225";"AGRO TC 50 SOLUBLE";"AGROPECUARIA MH S R L";"Propio";
"06-226";"Maximo brillo Osspret";"LABORATORIOS OSSPRET S.A.";"Propio";
"06-227";"Hepatonic P.A.";"KW SRL";"Propio";
"06-228";"BLOTAID 80%";"LABORATORIOS AVIAR S A";"Propio";
"06-231";"Stand Up *";"PRO SER SA";"Propio";
"06-232";"FA - TRY - BANIL RTU";"VON FRANKEN S A I C";"Propio";
"06-234";"Equicalm";"SPORT.HORSE S.A";"Propio";
"06-235";"FLOXIN PARAQUEÑOS";"PROAGRO SA";"Propio";
"06-237";"Hidratan B12 Mustad";"MUSTAD ARGENTINA SOCIEDAD ANONIMA";"Extensión";
"06-237";"REHIDRATANTE SH";"SPORT.HORSE S.A";"Propio";
"06-238";"Benzo Estradiol SW";"LABORATORIOS SIDWELL SRL";"Extensión";
"06-238";"Benzoato de Estradiol Calier";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Extensión";
"06-238";"Benzoato de Estradiol PASRL";"PRODUCTOS AGROGANADEROS S.R.L.";"Extensión";
"06-238";"Benzoato de Estradiol Rosenbusch";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Extensión";
"06-238";"Benzogen 100";"CESINI SILVIO GERMAN";"Extensión";
"06-238";"Estaben 100";"LEON PHARMA S. R. L.";"Extensión";
"06-238";"BENZOATO DE ESTRADIOL ZOOVET";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"06-239";"Florfenicol 30% Diclofenac Rosenbusch";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Extensión";
"06-239";"Neumoflor";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Extensión";
"06-239";"ZIFLOR FENAC";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"06-240";"Celo-Chek Yellow";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"06-241";"TIAMUCEV";"CEVASA S. A.";"Propio";
"06-242";"VISUALMIX";"BIOCHEMIQ SA";"Propio";
"06-243";"Cumetyl 300";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"06-244";"Calcio vitaminado Pro-Ser";"PRO SER SA";"Propio";
"06-245";"Trifasiovet 5%";"PHARMAVET SA";"Propio";
"06-246";"Trifasiovet 10%";"PHARMAVET SA";"Propio";
"06-247";"Ranipharm";"PHARMAVET SA";"Propio";
