N° de certificado;Nombre comercial;Empresa ;Titular o Extensión; 
"20-029";"NEURO GREEN";"LABORATORIOS J' ANVIER SRL";"Propio";
"20-030";"MELOXI LAIKA INYECTABLE";"ALLIGNANI HERMANOS S R L";"Propio";
"20-031";"LIMPIA UBRE";"LABORATORIOS AVIAR S A";"Propio";
"20-031";"DERMACLOX";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Extensión";
"20-032";"LOCIÓN DESATANUDOS OSSPRET";"LABORATORIOS OSSPRET S.A.";"Propio";
"20-033";"MELOXICAM VE TEC";"VE TEC S A";"Propio";
"20-033";"MELOXICAM DERMOVET";"DERMOVET S.R.L.";"Extensión";
"20-033";"CALMVET";"CHEMOVET S.A.";"Extensión";
"20-034";"PIMOCARD 10";"HOLLIDAY SCOTT S A";"Propio";
"20-035";"OSURNIA";"INNOSUR";"Propio";
"20-036";"OTOVIER ORAL";"LABORATORIOS J' ANVIER SRL";"Propio";
"20-037";"APRAX ECTOPILLS";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"20-038";"SERENEX TOUCH ";"LABORATORIOS KONIG S A";"Propio";
"20-039";"DERMAPET INTENSIVE WASH";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"20-040";"ONCOVET TL";"CHEMOVET S.A.";"Propio";
"20-041";"OVERMECTINA TRIPLEX";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"20-043";"INGEZIM BRUCELLA COMPAC 2.0";"IMMUNOLOGY SRL";"Propio";
"20-044";"PROVIDEAN BH-PUR";"TECNOVAX S.A.";"Propio";
"20-045";"CEVAC S GALLINARUM";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"20-046";"VAXXON IB H120";"CEVASA S. A.";"Propio";
"20-047";"ZELERIS";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"20-049";"TRIMETOX SOLUCIÓN ";"CEVASA S. A.";"Propio";
"20-050";"FLUNIFIELD";"CHINFIELD SA";"Propio";
"20-051";"CARTÍLAGO FORTE C.D.";"LABORATORIOS J' ANVIER SRL";"Propio";
"20-052";"CARTÍLAGO SENIOR CD";"LABORATORIOS J' ANVIER SRL";"Propio";
"20-053";"ARTHROBON";"LABORATORIOS KONIG S A";"Propio";
"20-054";"SELLA 2.0";"LABORATORIOS AVIAR S A";"Propio";
"20-055";"BIOCLOSTRIGEN J5 2 ML";"BIOGENESIS BAGO S.A.";"Propio";
"20-056";"T.I.U.";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"20-057";"BAGOGARD 4";"BIOGENESIS BAGO S.A.";"Propio";
"20-058";"TIOSULPHATE BLUE";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"20-059";"SEPTICARE MASTER FARM";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"20-060";"CISTICALM";"LABORATORIOS RODENTHIA S.A";"Propio";
"20-061";"ESPIRAGEN";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Extensión";
"20-061";"PARENTERIL INYECTABLE";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"20-062";"XILAZINA 10% OVER";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"20-063";"DERMAPET HAIR STYLING CONDITIONER";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"20-064";"DOUBLE BLOCK";"DELAVAL S.A";"Propio";
"20-065";"FARMASEPT PLUS";"CEVASA S. A.";"Propio";
"20-067";"SHAMPOO BUBLES WHITE CARE. BY ALAIN COGNARD";"RUMINAL  S.A.";"Propio";
"20-068";"ISOTONIC FULL";"LABORATORIOS RODENTHIA S.A";"Propio";
"20-069";"DERMAPET FRAGANCE FEMALE";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"20-070";"DERMAPET FRAGANCE ATTITUDE";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"20-072";"DERMAPET FRAGANCE PUPPIES COTTON";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"20-073";"CARPROWELL";"LABORATORIOS SIDWELL SRL";"Extensión";
"20-073";"CARPRODOL";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"20-075";"PATAS PET WIPES";"LABORATORIOS AVIAR S A";"Propio";
"20-076";"MELOXI LAIKA JARABE";"ALLIGNANI HERMANOS S R L";"Propio";
"20-078";"PREVEXXION RN";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"20-079";"BIGUADERM";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"20-080";"BANAMINE TRANSDERMAL";"INTERVET ARGENTINA SA";"Propio";
"20-081";"PULGAR COMPRIMIDOS";"PROAGRO SA";"Propio";
"20-081";"LAPASTILLA OSSPRET";"LABORATORIOS OSSPRET S.A.";"Extensión";
